8	64	
50	13	
9	19	
66	87	
76	32	
8	64	50	50	50	50	50	
8.19491	63.1214	63.8798	38.0487	44.1997	49.5924	55.7222	
7.87243	62.2811	65.3072	52.7961	37.7671	63.446	53.2554	
64.5972	86.852	57.0088	47.4825	44.8715	63.0334	56.7835	
64.2629	87.6875	60.0116	44.8742	37.3764	67.4448	46.6207	
63.3682	87.59	50.7233	44.4242	26.5969	70.7904	45.4724	
62.8407	86.8608	49.9007	44.0064	22.2701	70.6598	46.2439	
62.167	86.264	48.8406	37.8391	17.5463	72.585	39.844	
61.9118	87.1271	50.2792	34.7027	18.9991	75.3185	33.5129	
61.0997	87.5151	55.5418	30.888	16.8925	80.7152	38.3782	
61.0692	86.6156	59.5396	32.4317	33.202	82.2061	38.6188	
61.2273	85.7296	60.3135	41.7227	24.5824	90.4412	38.5312	
61.2169	84.8297	50.548	31.741	32.6913	85.2277	48.341	
61.8575	84.1975	49.1117	26.4987	31.7787	83.5293	62.4748	
61.8383	83.2977	44.4191	25.8477	40.5734	101.527	69.6096	
62.3439	84.0423	45.6897	22.7612	43.52	107.726	62.0846	
63.1224	84.4939	37.2074	23.5382	45.726	107.345	64.9942	
63.8088	85.076	32.3812	20.9368	46.0305	101.682	62.8468	
63.3999	84.2743	37.1759	22.8593	51.8594	103.301	51.848	
62.507	84.1613	38.6238	22.5903	51.3735	99.2121	55.439	
63.1582	83.54	56.5201	27.5439	63.1302	102.367	59.4956	
63.4912	82.7039	49.1369	19.5705	78.7861	98.5555	57.6907	
64.2281	82.1872	45.3936	20.4723	66.4083	107.843	66.3934	
64.5447	83.0296	48.5276	5.31559	63.175	106.419	70.4391	
65.104	83.7348	50.7359	7.85059	67.9136	88.558	73.5344	
64.5369	83.036	43.8388	7.24535	74.8344	83.6858	75.5544	
63.6767	82.771	53.1867	4.89491	67.2667	78.9923	72.4963	
62.7789	82.8329	51.8299	0.387678	60.7014	79.6396	69.525	
75.9059	36.3254	50.9007	-7.01571	47.9147	73.7311	76.4381	
62.9532	82.9432	54.9984	-10.2865	54.6374	68.114	66.3041	
74.8761	37.6203	55.1779	-22.1933	44.0342	58.3804	64.254	
6.34856	70.5551	59.0582	-24.7866	47.5977	48.2825	57.3834	
6.9169	69.8572	67.4839	-19.8246	51.6717	53.2017	56.4154	
7.16601	70.7221	76.0823	-21.8567	49.8765	61.4521	66.0432	
58.851	82.3018	68.849	-25.865	58.9237	72.2187	70.787	
76.9696	40.5692	71.8399	-34.1106	50.8242	65.6306	77.1551	
